May\MTM_012007Split\Grad3-1 numSpectra	May\MTM_012007Split\Grad3-1 totalIntensity	May\MTM_012007Split\Grad3-2 numSpectra	May\MTM_012007Split\Grad3-2 totalIntensity	May\MTM_012007Split\Grad3-3 numSpectra	May\MTM_012007Split\Grad3-3 totalIntensity	May\MTM_012007Split\Grad3-4 numSpectra	May\MTM_012007Split\Grad3-4 totalIntensity	May\MTM_012007Split\Grad3-5 numSpectra	May\MTM_012007Split\Grad3-5 totalIntensity	May\MTM_012007Split\Grad3-6 numSpectra	May\MTM_012007Split\Grad3-6 totalIntensity	May\MTM_012007Split\Grad3-7 numSpectra	May\MTM_012007Split\Grad3-7 totalIntensity	May\MTM_012007Split\Grad3-8 numSpectra	May\MTM_012007Split\Grad3-8 totalIntensity	 protein_mw	 accession_number	SwissProt ID	 accession_numbers	 coverage_maps	 percentCoverage	 percentCoverages	 numPepsUnique	 scoreUnique	 groupNum	 numSubgroups	 entry_name							
0	0.00E+00	2	2.90E+07	0	0.00E+00	5	4.52E+07	3	2.00E+07	1	3.59E+06	1	3.15E+06	0	0.00E+00	23505.8	14318517	P07560	6323004|6319314|312352|6319396|407521|6320950|6322426	0+34+13+44+19+26+17+4+29+31+26+53+12+14+17+6+13+139+17+22+31+72|0+34+13+44+19+26+17+4+29+31+26+53+12+14+17+6+13+139+17+22+31+75|0+34+13+44+19+26+17+4+29+31+26+53+12+14+17+6+13+139+17+22+31+75|0+169+17+32+16+63+12+189+9+142|0+169+17+32+16+63+12+189+9+121|0+157+29+111+12+189+9+135|0+205+12+465	30	30|30|30|8|8|7|1	15	335.97	11	2	member of 70 kDa heat shock protein family	 Ssa2p						
31	1.81E+09	22	8.12E+08	24	8.34E+08	18	3.58E+08	17	2.87E+08	10	5.82E+07	9	8.92E+07	7	3.56E+07	41689.9	14318479	P60010	6323073|4109|871533|4114|6323163|6321524|1945321|4118|2204264	0+44+19+91+25+30+15+25+24+31+11+2+10+5+34+118+21+6+21+31|0+44+19+90+25+30+15+34+15+31+11+2+10+15+24+118+21+6+21+18|0+154+25+30+15+34+15+31+11+2+10+15+24+118+21+6+21+31|0+44+19+91+25+30+15+93+10+236|0+44+19+91+25+138+10+236|0+44+19+186+9+59+10+236|0+44+19+186+9+59+10+206|0+44+19+96|0+44+19+76	31	31|29|25|12|9|6|7|11|13	14	331	12	3	pyruvate decarboxylase	 Pdc1p						
0	0.00E+00	1	1.94E+07	1	5.78E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	84520.9	14318437	P04801	557595|281278|556415	0+12+11+71+21+41+22+46+46+230+11+6+19+34+15+25+22+873|0+12+11+71+21+41+22+46+46+230+11+6+19+34+15+25+22+873|0+12+11+71+21+41+22+46+46+230+11+6+9+44+15+25+22+48	11	11|11|23	14	304.64	13	1	ssRNA-binding protein							
0	0.00E+00	1	9.57E+06	1	1.75E+07	1	9.72E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	15386.2	10383791	P32445	119180|6323278|3776156|6324314	0+9+17+76+44+50+12+67+14+6+12+151+11+5+17+131+9+5+24+36+11+67+12+184+17+57|0+9+17+76+44+50+12+67+14+6+12+151+11+5+17+131+9+5+24+36+11+67+12+184+17+57|0+13+11+5+17+131+9+5+24+36+11+67+12+169|0+196+12+488+11+67+12+258	19	19|19|16|3	14	297.34	14	1	Elongation factor 3A (EF-3A) (EF-3)							
82	1.11E+10	61	5.13E+09	73	6.66E+09	56	3.36E+09	41	1.28E+09	32	6.68E+08	28	4.42E+08	17	1.98E+08	44738.6	10383781	P00560	6322790	0+9+18+3+84+171+47+27	41	41	12	288.86	15	1	"Fructose 1,6-bisphosphate adolase, required for glycolysis and gluconeogenesis"	 Fba1p						
0	0.00E+00	2	1.24E+08	1	6.04E+06	0	0.00E+00	1	5.50E+06	0	0.00E+00	1	5.99E+06	0	0.00E+00	15847.5	9755341	P40213	6320255	0+3+9+5+9+29+43+1+35+4+7+50+26+27	52	52	12	264.86	16	1	induced under stress conditions	 triosephosphate isomerase	 Tpi1p					
0	0.00E+00	2	4.67E+07	1	1.58E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	6635.7	7839181	Q6Q547	6322697|1326042|299358	0+17+10+19+11+3+14+14+8+19+22+2+30+6+12+4+12+44|0+16+10+19+11+3+14+14+8+19+22+2+30+6+12+4+12+44|0+17+10+46	48	48|48|13	12	245.07	17	1	converts 3-phosphoglycerate to 2-phosphoglycerate in glycolysis	 Phosphoglycerate mutase	 Gpm1p					
0	0.00E+00	0	0.00E+00	0	0.00E+00	1	7.39E+06	1	4.12E+06	0	0.00E+00	0	0.00E+00	1	2.30E+06	100018	6579194	P34160	2507307	0+10+9+18+13+50+16+20+10+13+8+8+16+93+16+39+18+12+7+11	29	29	12	242.47	18	1	60S ribosomal protein L3 (YL1) (RP1) (Trichodermin resistance protein)							
2	6.05E+06	3	1.51E+07	3	1.15E+07	3	1.27E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	30362.4	6325441	P14020	6321362|6325058|5262963	0+5+10+6+9+17+13+10+12+8+10+10+8+3+24+15+15+31+12+3+17+6|0+5+10+6+9+17+13+10+12+8+10+10+8+3+24+15+15+31+12+3+17+6|0+5+10+6+9+7	53	53|53|51	12	237.53	19	2	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Bp and has similarity to E. coli L30 and rat L7 ribosomal proteins"	 contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)	 Rpl7ap					
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	4.09E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	85385.1	6325439	P15303	6319673	0+10+10+10+10+10+9+7+16+137+15+16+14+145+19+27+27+46+23+3	25	25	10	206.42	20	1	Phosphoglucoisomerase	 Glucose-6-phosphate isomerase	 Pgi1p					
1	2.45E+07	2	1.33E+08	4	5.16E+07	1	4.90E+07	1	2.10E+07	1	1.37E+07	0	0.00E+00	1	1.24E+06	64470.6	6325403	P49089	1710575|6321471|6323376	0+3+9+4+21+14+9+17+26+24|0+18+21+14+9+17+26+24|0+3+9+15+10+14+9+17+26+24	51	51|43|42	11	197.54	21	1	60S RIBOSOMAL PROTEIN L26-B (YL33)							
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	1.61E+06	0	0.00E+00	3	2.56E+07	5	2.42E+07	16037.9	6325389	P32827	6322984|4396|133017	0+32+11+25+16+12+9+15+27+38+28+18+10+15|0+32+11+25+16+12+9+15+13+52+28+18+10+15|0+32+11+25+16+12+9+15+13+52+28+18+10+15	39	39|33|33	10	196.79	22	1	"Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Ap and has similarity to rat L7a ribosomal protein"	 mutation results in decreased amounts of free 60S subunits	 Rpl8bp					
0	0.00E+00	0	0.00E+00	0	0.00E+00	1	4.62E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	39189.7	6325386	P45978	6320019|6320071|51013333|1903292	0+31+14+6+22+14+6+7+18+33+8+11+22+157+14+13+12+40|0+45+14+6+22+14+6+7+18+33+8+11+22+157+14+63|0+45+14+6+22+14+6+7+18+33+8+11+9+170+14+63|0+5+13+157+14+13+12+40	27	27|23|20|15	9	187.71	23	1	"homocitrate synthase, highly homologous to YDL131W"	 Lys20p						
0	0.00E+00	0	0.00E+00	0	0.00E+00	2	3.97E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	10802.4	6325309	P11632	6320956	0+655+11+15+25+12+15+215+23+5+11+40+15+71	8	8	8	186.04	24	1	"Karyopherin beta, mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4"	" localizes to the nuclear pore, nucleus, and cytoplasm"	 exhibits genetic interactions with RAI1	 Kap123p				
0	0.00E+00	1	7.92E+07	1	1.23E+08	2	1.82E+08	3	1.57E+08	1	1.63E+07	2	3.08E+07	1	3.71E+06	10090.9	6325300	P49631	6325196	0+134+12+68+27+2+25+74+10+100+15+33	17	17	8	185.59	25	1	Cytosolic aldehyde dehydrogenase that is activated by Mg2+ and utilizes NADP+ as the preferred coenzyme	 Ald6p						
7	5.43E+07	4	5.80E+07	3	3.90E+07	1	7.40E+06	1	6.14E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	54416.1	6325293	P41807	3793|6321184|3710	0+32+22+44+13+54+8+109+21+91+12+30+37+13|0+32+22+44+13+54+8+109+21+91+12+30+37+13|0+32+22+44+13+54+8+74	23	23|23|17	8	176.73	26	1	unnamed protein product							
2	8.37E+07	1	4.02E+07	2	2.96E+07	0	0.00E+00	0	0.00E+00	1	1.07E+07	2	9.53E+06	1	1.01E+07	20269.7	6325285	Q12402	133979|320168	0+2+12+17+15+52+34+22+6+17+6+19+12+22|0+31+15+52+17+62+6+19+12+21	36	36|21	8	175.52	27	1	40S ribosomal protein S6 (S10) (YS4) (RP9)							
1	5.81E+06	1	9.44E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	96553.9	6325238	Q02725	6320882	0+175+33+9+12+90+11+7+9+40+6+13+8+15+15+6	20	20	10	171.82	28	1	Putative S-adenosyl-L-homocysteine hydrolase with a probable role in S-adenosylhomocysteine catabolism and/or methionine degradation	 Sah1p						
2	4.06E+07	4	3.77E+07	1	5.92E+06	2	4.73E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	41728.9	6325229	P41338	6321232	0+225+10+137+16+306+12+98+13+70+11+334+19+278+9+3+13+99	6	6	8	167.47	29	1	vesicle coat protein	 presumed vesicle coat protein	 Chc1p					
0	0.00E+00	0	0.00E+00	0	0.00E+00	1	2.44E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	17020.3	6325220	Q02642	6323196|6322989|1326022|6322947|48429170|4737|417718|1326021	0+11+31+12+18+27+14+6+17+16|0+27+15+97+9+15+16+6+9+139+13+12+9+14|0+16+9+24+16+2+13+61+15+21+9+5|0+11+31+12+18+56|0+11+31+12+18+4|0+11+31+5|0+23+14+6+17+16|0+11+18+4	52	52|18|32|38|64|65|40|54	8	165.28	30	1	Fusion protein that is cleaved to yield a ribosomal protein of the small (40S) subunit and ubiquitin	 ubiquitin may facilitate assembly of the ribosomal protein into ribosomes	 interacts genetically with translation factor eIF2B	 Rps31p				
22	1.33E+09	16	4.86E+08	17	5.04E+08	12	2.30E+08	7	6.28E+07	5	4.47E+07	6	4.97E+07	3	1.67E+07	54414.5	6325196	A9LRZ7	6321291|6324262	0+2+19+18+15+18+12+7+19+5+7+51+11+7|0+2+19+18+15+18+12+7+19+5+7+51+11+7	43	43|43	8	161.5	31	2	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl9Bp and has similarity to E. coli L6 and rat L9 ribosomal proteins"	 Rpl9ap						
0	0.00E+00	5	5.49E+08	2	5.24E+08	3	4.26E+08	2	5.18E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	18274.3	6325178	Q12672	6321430|6325221	0+239+13+192+25+13+19+36+11+69+8+293|0+473+25+13+19+116+8+293	8	8|5	7	155.45	32	1	"Plasma membrane H+-ATPase, pumps protons out of the cell"	 major regulator of cytoplasmic pH	 part of the P2 subgroup of cation-transporting ATPases	 Pma1p				
2	6.40E+07	4	4.67E+08	3	5.41E+08	2	9.89E+07	6	1.03E+08	2	1.01E+07	2	2.49E+07	1	2.12E+06	22442.9	6325176	O13516	6323104	0+40+29+47+12+11+14+3+8+5+14+2+13+4+9+10	44	44	8	154.19	33	1	"Protein component of the large (60S) ribosomal subunit, responsible for joining the 40S and 60S subunits"	 regulates translation initiation	 has similarity to rat L10 ribosomal protein and to members of the QM gene family	 Rpl10p				
0	0.00E+00	0	0.00E+00	0	0.00E+00	1	2.74E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	27440.3	6325128	P35189	602897|52788562	0+21+17+50+9+13+15+26+12+18+8|0+21+17+50+9+13+15+26+12+18+8	32	32|32	8	152.43	34	1	ribosomal protein L19							
0	0.00E+00	2	4.23E+08	3	4.41E+08	6	1.56E+09	2	3.73E+08	1	1.34E+07	2	1.24E+08	0	0.00E+00	12154.2	6325114	P05744	6321531	0+59+16+251+13+97+15+278+9+66+22+11+9+185+11+62	8	8	8	152.31	35	1	mitochondrial and cytoplasmic valyl-tRNA synthetase	 Vas1p						
4	9.44E+07	2	1.26E+07	3	4.75E+07	3	5.84E+07	1	3.77E+06	2	7.17E+06	0	0.00E+00	0	0.00E+00	124142.2	6325097	P26637	6319395	0+109+11+219+19+22+15+38+9+370+14+53+10+26+12+24+14+107	9	9	8	151.76	36	1	"Cytoplasmic isoleucine-tRNA synthetase, target of the G1-specific inhibitor reveromycin A"	 Ils1p						
0	0.00E+00	5	3.90E+08	3	4.59E+07	4	3.78E+08	3	4.63E+07	2	3.57E+07	2	5.92E+07	0	0.00E+00	24485.9	6325036	P53030	6322668|6322284|395245|2131117	0+3+10+17+13+3+10+5+8+20+16+6+13+60|0+3+10+17+13+3+10+5+8+20+16+6+13+60|0+3+10+17+13+3+10+5+8+45|0+8+13+60	38	38|38|35|16	7	145.8	37	2	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Bp and has similarity to E. coli L22 and rat L17 ribosomal proteins"	 copurifies with the components of the outer kinetochore DASH complex	 Rpl17ap					
0	0.00E+00	1	1.88E+07	3	4.31E+07	1	9.13E+06	3	2.84E+07	1	1.90E+07	0	0.00E+00	3	2.14E+07	206948	6325025	P19097	6324151	0+10+41+3+10+14+12+42+9+71+11+17	34	34	7	145.53	38	1	"Protein component of the small (40S) ribosomal subunit, has apurinic/apyrimidinic (AP) endonuclease activity"	 essential for viability	 has similarity to E. coli S3 and rat S3 ribosomal proteins	 Rps3p				
0	0.00E+00	1	1.44E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	22355.6	6325017	P46683	6324452	0+20+7+11+8+10+10+13+13+24+14+3+8+39+6	35	35	8	145.49	39	1	"Protein component of the large (60S) ribosomal subunit, identical to Rpl18Bp and has similarity to rat L18 ribosomal protein"	 intron of RPL18A pre-mRNA forms stem-loop structures that are a target for Rnt1p cleavage leading to degradation	 Rpl18ap					
1	7.24E+07	1	8.38E+07	1	2.64E+08	2	1.88E+08	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	11135.3	6325006	O14455	547604|6322270|10383793|70946	0+91+13+8+17+9|0+91+13+8+17+9|0+90+13+8+17+9|0+90+13+34	21	21|21|21|9	6	143.99	40	1	ribosomal protein rp59							
0	0.00E+00	4	8.22E+08	3	4.41E+08	0	0.00E+00	3	1.35E+08	3	3.76E+07	0	0.00E+00	0	0.00E+00	49570.2	6324951	P07262	6321798|927763	0+22+26+25+38+15+7+3|0+22+26+25+38+15+7+3	52	52|52	7	143.77	41	1	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl27Bp and has similarity to rat L27 ribosomal protein"	 Rpl27ap						
22	2.00E+09	10	6.13E+08	20	1.25E+09	11	4.34E+08	5	4.97E+07	6	6.10E+07	2	2.26E+07	0	0.00E+00	15471.8	6324945	P48589	6323474|127059	0+19+8+6+8+44+9+71+37+40+13|0+19+8+6+8+44+9+71+9+13+15+40+13	29	29|24	8	142.27	42	2	Ribosomal protein 10 (rp10) of the small (40S) subunit	 nearly identical to Rps1Bp and has similarity to rat S3a ribosomal protein	 Rps1ap					
1	5.66E+06	0	0.00E+00	1	8.30E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	107277.7	6324911	P40825	14318479|3328|101119|9650899|9650901|31581432	0+18+10+22+12+134+10+32+16+105+14+2|0+18+10+22+12+134+10+32+16+121|0+18+10+22+12+134+10+32+16+121|0+18+12+134+10+32+16+104|0+18+12+134+10+32+16+104|0+8+12+134+10+32+16+87	16	16|12|12|11|11|12	6	139.2	43	1	"Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions"	 Act1p						
1	4.10E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	26471.5	6324907	P22203	6323763	0+38+8+7+6+31+12+35+39+143	20	20	6	134.95	44	1	WD repeat protein (G-beta like protein) that interacts with the translational machinery	 G-beta like protein	 Asc1p					
0	0.00E+00	0	0.00E+00	0	0.00E+00	2	1.41E+08	1	2.27E+06	1	4.97E+07	0	0.00E+00	2	5.94E+06	56956.5	6324886	Q12499	6324945|780798	0+33+10+11+36+5+10+8+11+19|0+5+10+71+11+2	46	46|21	6	130.75	45	1	Protein component of the small (40S) ribosomal subunit	 has similarity to rat ribosomal protein S12	 Rps12p					
0	0.00E+00	1	1.76E+08	1	4.05E+07	1	1.65E+08	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	12739.5	6324867	Q08745	6320949	0+59+16+2+15+33+10+16+27+22	34	34	6	128.4	46	1	Protein component of the small (40S) ribosomal subunit	 identical to Rps8Bp and has similarity to rat S8 ribosomal protein	 Rps8bp					
0	0.00E+00	1	9.24E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	12379	6324839	P48606	736308|37362684|6324888	0+20+11+5+10+15+18+2+7+66+9+17|0+18+11+5+10+15+18+2+7+66+9+17|0+14+11+5+10+15+18+2+7+66+9+17	30	30|30|31	6	124.8	47	1	unknown							
0	0.00E+00	0	0.00E+00	1	1.30E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	16649	6324826		6325176|6319666	0+29+8+7+7+18+9+4+9+16+8+23+11+5+17+26|0+29+8+7+7+18+9+4+9+16+8+23+11+5+17+24	35	35|35	8	123.64	48	1	Protein component of the small (40S) ribosomal subunit	 nearly identical to Rps9Ap and has similarity to E. coli S4 and rat S9 ribosomal proteins	 Rps9ap					
0	0.00E+00	2	3.53E+06	2	3.14E+06	1	1.21E+06	1	1.73E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	16511.5	6324798	P20436	6322058|6324260|791118	0+103+12+1+9+15+15+21+16+7|0+115+9+15+15+21+16+7|0+30+9+15+15+21+16+7	26	26|20|35	6	122.81	49	2	"N-terminally acetylated protein component of the large (60S) ribosomal subunit, binds to 5.8 S rRNA"	" has similarity to Rpl16Bp, E. coli L13 and rat L13a ribosomal proteins"	 transcriptionally regulated by Rap1p	 Rpl16ap				
0	0.00E+00	1	7.32E+06	1	2.63E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	65553.1	6324778	P06634	6323481|6323567|218511	0+8+11+12+15+10+14+20+18+9+11+48|0+31+15+10+14+20+18+9+11+48|0+8+11+12+15+44+18+9+11+48	39	39|32|31	7	122.19	50	2	"Protein component of the large (60S) ribosomal subunit, has similarity to Rpl6Bp and to rat L6 ribosomal protein"	 binds to 5.8S rRNA	 Rpl6bp					
0	0.00E+00	3	6.94E+07	1	4.91E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	54639.5	6324772	P38934	6321522|132951	0+10+6+19+14+15+18+71+21|0+10+6+19+14+15+18+71+21	33	33|33	7	120.52	51	1	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl11Ap"	 involved in ribosomal assembly	 depletion causes degradation of proteins and RNA of the 60S subunit	 has similarity to E. coli L5 and rat L11	 Rpl11bp			
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	3.10E+06	24990.7	6324759	P32836	6322136|2507038|6320905	0+85+44+22+14+13+14+2+15+62|0+64+44+22+14+13+14+2+15+62|0+98+10+65+15+62	32	32|34|10	6	119.56	52	1	DL-glycerol-3-phosphatase	 Rhr2p						
3	1.08E+07	1	1.33E+06	1	2.30E+06	2	2.11E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	43415.8	6324758	P33330	6322120	0+10+10+12+20+16+22+45	38	38	6	119.51	53	1	Protein component of the small (40S) ribosomal subunit	 identical to Rps24Ap and has similarity to rat S24 ribosomal protein	 Rps24bp					
