ID, ,,Data1,,, ,,Data1,,
YDL075W, ,0.039996852,0.997839083,0.339466566,0.298673136, ,0.823424575,0.022504019,0.138489613,0.473947184
YDL078C, ,0.971623119,0.579113961,0.23012208,0.401299716, ,0.747420564,0.972195684,0.227386398,0.20277365
YDL081C, ,0.305588387,0.677228952,0.891635143,0.795520399, ,0.963288741,0.722717883,0.102707741,0.638640655
YDL088C, ,0.031953941,0.383509416,0.252688526,0.366853105, ,0.195102334,0.999260551,0.087631729,0.100756799
YDL113C, ,0.835781093,0.913750218,0.08184677,0.950330004, ,0.908855971,0.050079372,0.065262245,0.122330419
YDL130W, ,0.267377045,0.78593994,0.231352924,0.628812118, ,0.768225334,0.622397136,0.954527629,0.247620577
YDL194W, ,0.858203553,0.104847238,0.87974125,0.113109061, ,0.631088846,0.309104195,0.799913733,0.332912775
YDL215C, ,0.3183371,0.871223794,0.397084944,0.475869619, ,0.152041531,0.289902355,0.651464875,0.901877669
YDL236W, ,0.500142544,0.255484205,0.662455577,0.393316491, ,0.272098284,0.993350848,0.041898013,0.626933661
YDR009W, ,0.365369922,0.650181954,0.253487492,0.338107842, ,0.113628654,0.451719744,0.88597688,0.266786674
YDR032C, ,0.228179289,0.468424566,0.686235143,0.870022528, ,0.610095067,0.854524522,0.363197592,0.249705514
YDR050C, ,0.856357412,0.187779649,0.613529259,0.057001206, ,0.971750752,0.484408763,0.688361462,0.368188751
YDR070C, ,0.145598495,0.852740662,0.237419389,0.196240017, ,0.586304634,0.30531344,0.808254889,0.9773187
YDR100W, ,0.695131954,0.415349974,0.543695414,0.60746688, ,0.014055427,0.402601877,0.62464787,0.856906285
YDR103W, ,0.198028381,0.131172842,0.713293222,0.289695798, ,0.3715629,0.893549485,0.756216815,0.311810975
YDR142C, ,0.907122641,0.828086334,0.968828364,0.440282419, ,0.81389817,0.284759167,0.799506108,0.654613782
YDR146C, ,0.107356954,0.617563943,0.215799303,0.069531162, ,0.058476571,0.542800288,0.73007172,0.968966774
YDR167W, ,0.288449494,0.369901208,0.235604352,0.350122789, ,0.711579833,0.618459592,0.749040618,0.076788398
YDR171W, ,0.901264387,0.473405746,0.91364829,0.998721965, ,0.611600173,0.745025911,0.02761655,0.639198421
YDR174W, ,0.596447703,0.661525322,0.044642726,0.257587032, ,0.524319593,0.665468552,0.640884786,0.171913415
YDR184C, ,0.636069409,0.194339986,0.962012985,0.234937305, ,0.883717041,0.756046253,0.73073789,0.647355947
YDR244W, ,0.16997511,0.079679118,0.990932446,0.275122539, ,0.218388441,0.04986527,0.495835653,0.010895521
YDR277C, ,0.240114852,0.059436806,0.138976123,0.902610398, ,0.197852312,0.284842685,0.773914685,0.956298416
YDR299W, ,0.472233432,0.759936073,0.252797015,0.209688729, ,0.852700293,0.955551536,0.036351129,0.632915247
YDR309C, ,0.693246936,0.043019429,0.103003722,0.26191933, ,0.5768786,0.591566376,0.739348144,0.94140882
YDR311W, ,0.634965194,0.205768669,0.069392866,0.134730984, ,0.88766378,0.992147661,0.801561805,0.971182977
YDR323C, ,0.12736858,0.908141513,0.871418613,0.010277605, ,0.366713331,0.852140397,0.860160069,0.945569191
YDR335W, ,0.253949763,0.587877651,0.126662716,0.173126274, ,0.555793564,0.713258393,0.059389314,0.154924295
YDR354W, ,0.041713786,0.358377285,0.158066386,0.030213071, ,0.739200685,0.631072811,0.650223332,0.448458617
YDR382W, ,0.304367374,0.542703417,0.548673157,0.154283216, ,0.032873396,0.226804155,0.686956781,0.424990914
YDR395W, ,0.961765485,0.57174762,0.306481835,0.934420307, ,0.361689654,0.909809008,0.215575715,0.139722323
YDR412W, ,0.359262929,0.869568693,0.102930686,0.792360076, ,0.342037503,0.398865886,0.351050619,0.354479684
YDR429C, ,0.354289881,0.206799648,0.248403775,0.011005158, ,0.794935255,0.217982339,0.149954406,0.469201171
YDR461W, ,0.880606051,0.277595656,0.801700159,0.884326482, ,0.753385264,0.034047716,0.031613314,0.341782586
YEL009C, ,0.094774066,0.09823406,0.52133769,0.452280644, ,0.043234691,0.587566865,0.953170156,0.616361728
YEL015W, ,0.180429562,0.803769799,0.649392571,0.618104199, ,0.918860951,0.354653941,0.708756121,0.216031658
YEL039C, ,0.511558428,0.221019971,0.206308374,0.453634132, ,0.306174721,0.992954664,0.020105121,0.345413686
YEL041W, ,0.053830658,0.619050752,0.085112759,0.470296429, ,0.105097177,0.976424819,0.988868762,0.894374711
YER040W, ,0.251053591,0.03191661,0.244697849,0.809872945, ,0.722014618,0.463338411,0.297757066,0.913580699
YER052C, ,0.992055236,0.059937209,0.851833145,0.910039106, ,0.128131358,0.890408451,0.159634859,0.337687259
YER054C, ,0.483281067,0.325560336,0.665872604,0.318297415, ,0.849639903,0.222132299,0.130475609,0.915446232
YER056CA, ,0.035611148,0.93403767,0.451799166,0.324746135, ,0.218905037,0.172537021,0.723969584,0.690838442
YER062C, ,0.622476245,0.275653202,0.566217196,0.924312659, ,0.179182161,0.534429402,0.358955159,0.410352375
YER065C, ,0.936572245,0.631714889,0.159952187,0.104790325, ,0.276478611,0.451791568,0.099162823,0.703382935
YER074W, ,0.892898994,0.584402655,0.055709779,0.868566404, ,0.814161094,0.46514893,0.374148141,0.969089598
YER079W, ,0.470033702,0.220151852,0.307052866,0.392172791, ,0.971375593,0.998040808,0.824224985,0.557850946
YER081W, ,0.167188271,0.837121986,0.605438887,0.264295594, ,0.926947094,0.798699909,0.979273574,0.901211928
YER090W, ,0.355308719,0.056821514,0.773161724,0.988925428, ,0.345362494,0.990544352,0.465185299,0.757161893
YER102W, ,0.294582863,0.198226372,0.014346807,0.15540509, ,0.63366454,0.318696347,0.151932445,0.789066975
YER103W, ,0.718777188,0.431252458,0.149951994,0.947581469, ,0.373438467,0.466120438,0.718184671,0.793143178
YER110C, ,0.831411991,0.771434801,0.272227395,0.705666587, ,0.870538927,0.454042739,0.166808413,0.264596874
YER111C, ,0.888665585,0.658418893,0.522429001,0.125231826, ,0.75792549,0.897654821,0.740839616,0.179147421
YER112W, ,0.523824149,0.732824513,0.574085205,0.004043905, ,0.114377343,0.931001139,0.052184093,0.590907228
YER116C, ,0.364179274,0.018391711,0.454507058,0.167080784, ,0.03495504,0.704892489,0.645276865,0.004996407
YER124C, ,0.463792729,0.332683891,0.436971089,0.671351629, ,0.952979651,0.337547889,0.276659871,0.128459827
YER133W, ,0.626088096,0.215893655,0.897863551,0.275103302, ,0.240091123,0.940021259,0.733140339,0.515759223
YER143W, ,0.173671402,0.687459822,0.044376897,0.462966182, ,0.025515559,0.606273392,0.320063851,0.38121359
YER145C, ,0.299465484,0.045697442,0.569600863,0.54837393, ,0.070736319,0.371961526,0.53935533,0.821837189
YER179W, ,0.070543297,0.769409182,0.645721051,0.245260585, ,0.234727019,0.067922074,0.272892884,0.519188948
YFL017C, ,0.281801662,0.267592971,0.737814984,0.971583535, ,0.016584259,0.903779848,0.766869721,0.67797883
YFL026W, ,0.802290385,0.968659231,0.074506643,0.152902961, ,0.793607178,0.194241616,0.58656251,0.170428569
YFL038C, ,0.625251252,0.477897695,0.697687517,0.385965024, ,0.109571912,0.546220803,0.159495875,0.211418548
YFL039C, ,0.348371784,0.860180385,0.544273199,0.899903713, ,0.700671929,0.436239727,0.451344112,0.212145725
YFR014C, ,0.330421609,0.561720647,0.797687036,0.070956974, ,0.138271266,0.784474397,0.429259548,0.140891163
YFR034C, ,0.511290103,0.808677495,0.196567815,0.918846343, ,0.667062633,0.185850175,0.624759314,0.410271566
YFR037C, ,0.551838644,0.804931389,0.783775026,0.497176297, ,0.391953491,0.490990398,0.316123818,0.295453305
YGL008C, ,0.834303044,0.256844361,0.761992253,0.491566298, ,0.00932433,0.939032582,0.306761459,0.633330638
YGL013C, ,0.808176562,0.81202787,0.339068532,0.303905754, ,0.000682708,0.172515402,0.584194218,0.507795331
YGL035C, ,0.218696935,0.226197834,0.77152568,0.772723783, ,0.125813016,0.351901522,0.426016429,0.092051776
YGL044C, ,0.010184064,0.922856311,0.744143761,0.115326514, ,0.894041579,0.92547026,0.48839594,0.439253049
YGL073W, ,0.815644223,0.988603309,0.976638224,0.815559922, ,0.12911161,0.450729273,0.0093809,0.464481192
YGL097W, ,0.834514224,0.491787594,0.839921582,0.734962206, ,0.48421597,0.63264611,0.926986106,0.255342111
YGL106W, ,0.379048901,0.525828737,0.088855815,0.286786234, ,0.039190444,0.668303061,0.652858647,0.257199044
YGL115W, ,0.948232277,0.345352879,0.648133861,0.428087459, ,0.841661398,0.098829386,0.571188247,0.703108138
YGL122C, ,0.50485718,0.106006354,0.596517002,0.674275395, ,0.423617728,0.12791991,0.868653699,0.725773399
YGL134W, ,0.738348471,0.744042894,0.839568721,0.71984319, ,0.281700632,0.845905542,0.324397218,0.820561985
YGL153W, ,0.409172064,0.389479319,0.16655296,0.078223938, ,0.440414781,0.72794279,0.409485203,0.671515427
YGL161C, ,0.267250777,0.156358273,0.706803928,0.806698548, ,0.297728241,0.175472633,0.201863945,0.899139313
YGL166W, ,0.765345431,0.596731958,0.296795562,0.092428119, ,0.537179026,0.184488302,0.573587742,0.961629191
YGL202W, ,0.511034183,0.606947906,0.921429946,0.410058301, ,0.578106982,0.350498402,0.62354108,0.755846922
YGL208W, ,0.165658986,0.620946631,0.224393255,0.767936728, ,0.542324484,0.256753073,0.711557575,0.630569702
YGL229C, ,0.00426566,0.846111031,0.56732895,0.811385404, ,0.658982016,0.32070163,0.395236522,0.119241207
YGL237C, ,0.398633802,0.585264113,0.996729918,0.773128001, ,0.394392579,0.351704602,0.754852311,0.209153791
YGR009C, ,0.826175501,0.867291171,0.995915064,0.727720249, ,0.944977425,0.996715008,0.10885046,0.998719206
YGR014W, ,0.327119083,0.473194517,0.383515502,0.415475602, ,0.484765441,0.351215746,0.290833126,0.078488692
YGR019W, ,0.747008877,0.454260146,0.820140423,0.706217914, ,0.986354246,0.553186113,0.199923472,0.062639736
YGR046W, ,0.986224339,0.10995365,0.503964102,0.716022677, ,0.892773345,0.592352649,0.427628825,0.627772928
YGR048W, ,0.702347272,0.740625062,0.848727063,0.980009259, ,0.985945932,0.011771262,0.640733898,0.311893437
YGR058W, ,0.358142675,0.936101477,0.223993227,0.747368027, ,0.099835806,0.769722363,0.858477675,0.752686238
YGR074W, ,0.009407097,0.12245046,0.820592099,0.631305815, ,0.072778858,0.698876089,0.340899261,0.304881132
YGR085C, ,0.965221471,0.362501811,0.142922519,0.592208424, ,0.148154109,0.20692082,0.514623555,0.576734657
YGR088W, ,0.92201238,0.556569923,0.785767981,0.807698493, ,0.338902479,0.8023072,0.010410308,0.096230768
YGR108W, ,0.427532402,0.94936724,0.170921975,0.597821897, ,0.19395659,0.388489745,0.332628825,0.369736276
YGR136W, ,0.764253367,0.356957547,0.880902342,0.554290599, ,0.101087631,0.131597031,0.166469147,0.45896941
YGR203W, ,0.354886086,0.470603743,0.682038674,0.796147693, ,0.553236518,0.207393897,0.665107824,0.940211094
YGR218W, ,0.160260606,0.398209334,0.793660013,0.961589962, ,0.708466029,0.007245183,0.176023202,0.252732649
YGR254W, ,0.587282008,0.809053511,0.627083329,0.019218687, ,0.435104529,0.566932756,0.378760865,0.35359325
YHR005C, ,0.972106948,0.129925672,0.846241513,0.587704971, ,0.956935707,0.026107506,0.26818918,0.96649727
YHR030C, ,0.067990133,0.029955026,0.796958938,0.916048244, ,0.791727964,0.030637018,0.840761124,0.29029099
YHR053C, ,0.387455083,0.449108954,0.780571123,0.145756077, ,0.047704328,0.962331806,0.457961637,0.15337156
YHR055C, ,0.581999964,0.473665806,0.854083273,0.944861726, ,0.364353746,0.741338206,0.903056525,0.33049661
YHR071W, ,0.580287537,0.487241284,0.949212953,0.706544386, ,0.209317325,0.714339874,0.089819844,0.039767035
YHR084W, ,0.346558225,0.206044147,0.66057184,0.978256765, ,0.170535648,0.621574521,0.841679125,0.475572959
YHR115C, ,0.656734624,0.552868993,0.950736761,0.152447136, ,0.72988191,0.65991493,0.492306401,0.41683734
YHR135C, ,0.814127208,0.532969374,0.36067323,0.463793435, ,0.873120073,0.345675374,0.357647704,0.220293643
YHR141C, ,0.010946362,0.040297239,0.468590768,0.081033042, ,0.508367901,0.118136245,0.158529338,0.524178489
YHR171W, ,0.669439069,0.341830111,0.170926713,0.967020693, ,0.86262191,0.260702855,0.497400089,0.045332482
YHR174W, ,0.757532856,0.365026621,0.007360861,0.947867741, ,0.274541569,0.256730063,0.462705813,0.520321493
YHR179W, ,0.080371609,0.506408848,0.315978398,0.010518255, ,0.367707029,0.13088118,0.229636991,0.546853278
YHR198C, ,0.840670531,0.153363026,0.41555003,0.422273635, ,0.409080484,0.282097608,0.886507067,0.197599624
YIL015W, ,0.06635574,0.20174478,0.485623786,0.338218284, ,0.441739202,0.474474255,0.817243253,0.107330237
YIL045W, ,0.958995708,0.446980298,0.241178001,0.548658044, ,0.274887096,0.632975235,0.99418321,0.770738645
YIL052C, ,0.523810565,0.258594307,0.582284088,0.587144565, ,0.518807326,0.422714978,0.700713436,0.93374048
YIL061C, ,0.873223504,0.040407271,0.207806716,0.108268844, ,0.964937298,0.598170069,0.889185112,0.82925482
YIL069C, ,0.716925476,0.601055508,0.39414084,0.445512337, ,0.056153077,0.015980572,0.792956477,0.039032688
YIL070C, ,0.752434103,0.925023958,0.742659322,0.409520342, ,0.729396038,0.887730719,0.362051057,0.059339424
YIL074C, ,0.570300305,0.522346477,0.088842364,0.10651832, ,0.71647547,0.691529619,0.805415688,0.197220371
YIL105C, ,0.851428681,0.552868322,0.27457674,0.436705614, ,0.48602041,0.498273859,0.829395398,0.952645532
YIL113W, ,0.625431561,0.951001672,0.522124185,0.367486887, ,0.025054619,0.176305466,0.783235938,0.71926746
YIL133C, ,0.214377352,0.610551092,0.587730246,0.250950417, ,0.210545346,0.968823894,0.471273662,0.195709793
YIL143C, ,0.673331635,0.820193233,0.932052235,0.942839329, ,0.028966138,0.287153572,0.677059644,0.179723735
YIL160C, ,0.075593926,0.156257205,0.719404504,0.729221195, ,0.707467981,0.152853971,0.264770104,0.954595135
YIL162W, ,0.440250806,0.114728733,0.60464955,0.034999289, ,0.451456392,0.720844819,0.042042018,0.477211823
YIR009W, ,0.818623851,0.875955595,0.967061742,0.935075945, ,0.369243244,0.563142223,0.450940233,0.998093776
YJL013C, ,0.570401268,0.310975757,0.312281905,0.431677023, ,0.934615602,0.973770501,0.981115803,0.266065693
YJL030W, ,0.21796409,0.745683359,0.159658628,0.53278368, ,0.47656067,0.682749423,0.852558942,0.383615564
YJL036W, ,0.663265693,0.877065298,0.467793579,0.373729616, ,0.298100882,0.096642246,0.372961699,0.772586758
YJL089W, ,0.712917282,0.808283384,0.617328782,0.599177159, ,0.50404651,0.416684583,0.718502912,0.816025549
YJL157C, ,0.397891042,0.213675918,0.230420235,0.797701816, ,0.798260646,0.783662145,0.481665577,0.801523816
YJL159W, ,0.922025883,0.35633281,0.802957091,0.762064922, ,0.937309221,0.277477403,0.744077856,0.694025961
YJL190C, ,0.240793008,0.261396265,0.74003142,0.28169162, ,0.457716158,0.330582375,0.225549821,0.286921389
YJL194W, ,0.312947726,0.053766636,0.181110697,0.997425871, ,0.13840047,0.171403165,0.333884063,0.899414855
YJL203W, ,0.967751871,0.298746005,0.588955042,0.785222556, ,0.170782118,0.143655738,0.112370472,0.671663691
YJL219W, ,0.534925423,0.219984291,0.997164518,0.821778703, ,0.312769793,0.21451429,0.681666938,0.294845518
YJR022W, ,0.913041695,0.709611903,0.289436695,0.534699118, ,0.916251493,0.053991984,0.717568239,0.962347577
YJR048W, ,0.545455053,0.14970256,0.832493985,0.138726338, ,0.77577647,0.628220313,0.17150885,0.071600008
YJR060W, ,0.167972173,0.991246498,0.121400308,0.504019531, ,0.043320007,0.247274979,0.929977057,0.41234472
YJR066W, ,0.370040991,0.464142361,0.916569438,0.343757071, ,0.350743462,0.158149976,0.693121192,0.569404362
YJR109C, ,0.521110569,0.018987533,0.254525436,0.657278956, ,0.993339334,0.846722714,0.965824911,0.862755599
YKL001C, ,0.963519013,0.828016098,0.38212785,0.254639463, ,0.372799757,0.957149939,0.958746201,0.009548686
YKL012W, ,0.325630275,0.498502915,0.132445858,0.346714887, ,0.913367632,0.312871476,0.065450411,0.968477952
YKL028W, ,0.803483463,0.444323181,0.459189218,0.151517575, ,0.080814333,0.038397339,0.108960274,0.915625704
YKL074C, ,0.647300457,0.098917192,0.005711184,0.838082626, ,0.440827562,0.700605976,0.578034039,0.956827022
YKL101W, ,0.673701641,0.269783815,0.656805996,0.455486109, ,0.845142746,0.574476202,0.344805835,0.927396479
YKL109W, ,0.717883607,0.540532557,0.471605247,0.064579256, ,0.182440753,0.925603654,0.769550751,0.87941799
YKL161C, ,0.668505268,0.793458278,0.865337913,0.70156089, ,0.423847227,0.822410421,0.45851588,0.101589102
YKL204W, ,0.175714196,0.000772769,0.586465824,0.511333203, ,0.596319736,0.861916375,0.810956123,0.94959456
YKL211C, ,0.230118012,0.552403675,0.454927819,0.862297374, ,0.086139806,0.002944963,0.335998672,0.685727174
YKR026C, ,0.130457848,0.964094959,0.538988305,0.898931967, ,0.842970074,0.206869189,0.396911928,0.91691409
YKR097W, ,0.095378808,0.09197398,0.909120093,0.771567268, ,0.706330792,0.270361399,0.284017965,0.305649791
YKR099W, ,0.580861223,0.265497071,0.05414625,0.452514971, ,0.356737583,0.447732087,0.598633967,0.265512827
YLL019C, ,0.496959341,0.730535355,0.207776607,0.985066505, ,0.061573559,0.39805866,0.225944016,0.713472417
YLL021W, ,0.159388112,0.480115549,0.066733363,0.669130029, ,0.126039826,0.420977154,0.541207006,0.263714634
YLL028W, ,0.404920897,0.577575587,0.298218101,0.591080962, ,0.22378316,0.950442357,0.312593309,0.30498648
YLR044C, ,0.913868301,0.666477649,0.567565375,0.536806058, ,0.226079071,0.351795538,0.803538308,0.891154707
YLR075W, ,0.561218061,0.715938832,0.894703155,0.297604198, ,0.02259163,0.863424561,0.976539632,0.013452259
YLR081W, ,0.775685962,0.820622118,0.51048607,0.968535063, ,0.649994601,0.237753657,0.796954036,0.73944586
YLR109W, ,0.75350047,0.391282263,0.638551524,0.368289181, ,0.60696697,0.292580733,0.985797948,0.425580541
YLR116W, ,0.543143359,0.099866515,0.734132785,0.74238489, ,0.705473681,0.640900785,0.065782683,0.847771124
YLR117C, ,0.647452039,0.237652566,0.521223118,0.618575628, ,0.70620113,0.16695863,0.238805396,0.918167039
YLR134W, ,0.196577506,0.820708125,0.080276268,0.194331054, ,0.166153109,0.501944629,0.929778395,0.740313166
YLR153C, ,0.764193935,0.258352572,0.036323614,0.406985269, ,0.172520117,0.124215304,0.851574367,0.132066693
YLR175W, ,0.668946827,0.436127213,0.131506966,0.692157713, ,0.743791887,0.724577098,0.078738069,0.557658866
YLR191W, ,0.332127936,0.22202014,0.361648858,0.05900705, ,0.180851365,0.117021835,0.776695327,0.505877395
YLR197W, ,0.742622408,0.207371028,0.569744004,0.399459433, ,0.521501324,0.57691035,0.211376799,0.503770539
YLR214W, ,0.056381069,0.590437684,0.737734325,0.426215983, ,0.280080996,0.088933847,0.813814178,0.322233017
YLR229C, ,0.271882049,0.625617059,0.112219546,0.89128861, ,0.205115905,0.491975454,0.20639341,0.570196804
YLR249W, ,0.626212841,0.088683727,0.72680873,0.867095175, ,0.591008203,0.813214338,0.22229996,0.188098523
YLR256W, ,0.895663496,0.289488489,0.16150326,0.747171454, ,0.95698468,0.798275483,0.716400504,0.224619005
YLR258W, ,0.854517724,0.062535025,0.189397314,0.824645877, ,0.878252464,0.243277337,0.826430668,0.264671155
YLR264W, ,0.301877249,0.324348249,0.883014319,0.9775852, ,0.486839451,0.431422827,0.67031171,0.831238226
YLR284C, ,0.897455537,0.190923426,0.522986327,0.330542477, ,0.518208261,0.940348693,0.548877594,0.000886182
YLR293C, ,0.964879802,0.684221345,0.849304686,0.350133696, ,0.958085298,0.809682249,0.162931431,0.599990142
YLR310C, ,0.718628786,0.593345634,0.260123877,0.174507063, ,0.69229918,0.826445886,0.373862527,0.239665671
YLR319C, ,0.004711519,0.323972169,0.181587693,0.808628325, ,0.085603632,0.251345358,0.357181853,0.707703308
YLR321C, ,0.820922573,0.45399576,0.511349782,0.76420061, ,0.64035729,0.642875481,0.630239251,0.354401968
YLR340W, ,0.133438367,0.970304687,0.661986696,0.387314582, ,0.18308144,0.604984918,0.698487497,0.682855466
YLR345W, ,0.901416315,0.412437082,0.79640852,0.682956933, ,0.303635232,0.222272662,0.232430764,0.483296295
YLR362W, ,0.266551927,0.898135978,0.941820455,0.49928243, ,0.923084915,0.703459146,0.20714573,0.942972107
YLR377C, ,0.260569004,0.191324561,0.966349005,0.790437592, ,0.164011201,0.443659667,0.056303021,0.089931316
YLR432W, ,0.612585845,0.279319119,0.735961907,0.734650163, ,0.74380828,0.297562493,0.129208747,0.904060803
YLR452C, ,0.602459988,0.953493786,0.234705329,0.290731692, ,0.311059388,0.685631601,0.796931102,0.361205513
YML007W, ,0.116722066,0.488652437,0.111548804,0.718219084, ,0.473995138,0.557296685,0.881147013,0.062875455
YML024W, ,0.835138469,0.198420643,0.897572244,0.763789931, ,0.748395176,0.242413574,0.276434947,0.30469316
YML032C, ,0.029631376,0.717737401,0.43554386,0.446294376, ,0.766062566,0.781556799,0.014655353,0.606847666
YML051W, ,0.625646356,0.440299798,0.055884484,0.242329249, ,0.174108897,0.448975818,0.041996957,0.428474628
YML054C, ,0.257527131,0.224786404,0.098668158,0.112223298, ,0.397166766,0.591502055,0.780349431,0.730449308
YML064C, ,0.025220198,0.877142012,0.2319403,0.579081905, ,0.533376263,0.565846981,0.449197554,0.878763126
YML074C, ,0.106010236,0.9415298,0.802491707,0.574210515, ,0.849617484,0.59865628,0.692693437,0.171386991
YML114C, ,0.244380268,0.564331268,0.779133058,0.687854311, ,0.792530317,0.210141381,0.949629079,0.366843777
YML123C, ,0.508378127,0.6051136,0.504561307,0.588414066, ,0.762364815,0.811290784,0.308682341,0.549362421
YMR005W, ,0.948168366,0.473120883,0.381678667,0.581801865, ,0.741580625,0.208372325,0.130352622,0.134647608
YMR021C, ,0.330537719,0.070510795,0.656595201,0.372094285, ,0.843574225,0.11154224,0.756162364,0.185729178
YMR043W, ,0.120725595,0.388794969,0.427237861,0.690751452, ,0.434302319,0.551794469,0.631079237,0.76359666
YMR044W, ,0.678977199,0.733988379,0.887218787,0.494411189, ,0.042574074,0.496750107,0.913693712,0.415163109
YMR058W, ,0.662729353,0.624722829,0.142467592,0.487335988, ,0.333959674,0.797223946,0.418605528,0.144325696
YMR108W, ,0.156675172,0.356573792,0.714032919,0.198003919, ,0.831916663,0.742941548,0.79187545,0.825160755
YMR117C, ,0.725033935,0.365559558,0.523713064,0.664948719, ,0.622368358,0.339818816,0.938321899,0.974473549
